Year,Round,Circuit,Driver,Team,SubSession,LapTime_s,GridPosition,Sector1_s,Sector2_s,Sector3_s,TyreLife,Compound,FreshTyre,SpeedI1,SpeedI2,SpeedFL,SpeedST,AirTemp_C,TrackTemp_C,Humidity_pct,Pressure_hPa,WindSpeed_ms,Rainfall,FP1_s,FP2_s,FP3_s,IsSprintWeekend,SubSession_ord,Wet
2022,2,SAUDI ARABIAN GRAND PRIX,SAI,Ferrari,Q1,88.855,3.0,32.426,28.519,27.91,5.0,SOFT,False,286.0,320.0,296.0,325.0,23.4,25.3,59.0,1014.5,3.0,0.0,91.139,90.32,90.009,0,1,0
2022,2,SAUDI ARABIAN GRAND PRIX,VER,Red Bull Racing,Q1,88.928,4.0,32.634,28.414,27.88,6.0,SOFT,False,288.0,326.0,308.0,331.0,23.4,25.3,59.0,1014.5,3.0,0.0,90.888,90.214,89.768,0,1,0
2022,2,SAUDI ARABIAN GRAND PRIX,LEC,Ferrari,Q1,89.039,2.0,32.57,28.486,27.983,5.0,SOFT,False,285.0,320.0,297.0,325.0,23.4,25.3,59.0,1014.5,3.0,0.0,90.772,90.074,89.735,0,1,0
2022,2,SAUDI ARABIAN GRAND PRIX,RUS,Mercedes,Q1,89.68,6.0,32.646,28.768,28.266,2.0,SOFT,True,287.0,319.0,296.0,324.0,23.4,25.3,59.0,1014.5,3.0,0.0,92.839,90.664,90.983,0,1,0
2022,2,SAUDI ARABIAN GRAND PRIX,BOT,Kick Sauber,Q1,89.683,8.0,32.829,28.765,28.089,6.0,SOFT,True,286.0,322.0,303.0,325.0,23.4,25.3,59.0,1014.5,3.0,0.0,91.084,90.832,90.03,0,1,0
2022,2,SAUDI ARABIAN GRAND PRIX,PER,Red Bull Racing,Q1,89.705,1.0,32.881,28.752,28.072,6.0,SOFT,False,288.0,327.0,307.0,332.0,23.4,25.3,59.0,1014.5,3.0,0.0,91.563,90.36,89.833,0,1,0
2022,2,SAUDI ARABIAN GRAND PRIX,MAG,Haas F1 Team,Q1,89.831,10.0,32.879,28.858,28.094,4.0,SOFT,True,283.0,323.0,303.0,329.0,23.4,25.3,59.0,1014.5,3.0,0.0,124.638,92.344,90.262,0,1,0
2022,2,SAUDI ARABIAN GRAND PRIX,GAS,Racing Bulls,Q1,89.891,9.0,32.896,28.787,28.208,4.0,SOFT,False,284.0,322.0,301.0,326.0,23.4,25.3,59.0,1014.5,3.0,0.0,91.317,90.963,90.148,0,1,0
2022,2,SAUDI ARABIAN GRAND PRIX,NOR,McLaren,Q1,89.957,11.0,32.832,28.797,28.328,4.0,SOFT,True,283.0,315.0,287.0,320.0,23.4,25.3,59.0,1014.5,3.0,0.0,92.594,90.735,91.529,0,1,0
2022,2,SAUDI ARABIAN GRAND PRIX,ALO,Alpine,Q1,89.978,7.0,32.853,28.843,28.282,6.0,SOFT,True,286.0,317.0,301.0,323.0,23.4,25.3,59.0,1014.5,3.0,0.0,92.381,90.944,90.296,0,1,0
